Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .5166E-01 .8429E-03
.3510E+03 .5378E-01 .9191E-03
.3520E+03 .5031E-01 .9026E-03
.3530E+03 .5044E-01 .9522E-03
.3540E+03 .5849E-01 .1149E-02
.3550E+03 .5891E-01 .1213E-02
.3560E+03 .5325E-01 .1154E-02
.3570E+03 .4376E-01 .9865E-03
.3580E+03 .4110E-01 .9648E-03
.3590E+03 .4473E-01 .1093E-02
.3600E+03 .5678E-01 .1443E-02
.3610E+03 .4927E-01 .1307E-02
.3620E+03 .5050E-01 .1413E-02
.3630E+03 .5677E-01 .1669E-02
.3640E+03 .5703E-01 .1755E-02
.3650E+03 .5848E-01 .1872E-02
.3660E+03 .6879E-01 .2296E-02
.3670E+03 .6746E-01 .2342E-02
.3680E+03 .6213E-01 .2235E-02
.3690E+03 .6434E-01 .2411E-02
.3700E+03 .6992E-01 .2728E-02
.3710E+03 .6406E-01 .2599E-02
.3720E+03 .6214E-01 .2609E-02
.3730E+03 .5688E-01 .2480E-02
.3740E+03 .5101E-01 .2307E-02
.3750E+03 .5390E-01 .2525E-02
.3760E+03 .6156E-01 .2976E-02
.3770E+03 .6481E-01 .3239E-02
.3780E+03 .7770E-01 .4006E-02
.3790E+03 .6737E-01 .3574E-02
.3800E+03 .6332E-01 .3456E-02
.3810E+03 .6889E-01 .3901E-02
.3820E+03 .5282E-01 .3104E-02
.3830E+03 .4089E-01 .2491E-02
.3840E+03 .4570E-01 .2874E-02
.3850E+03 .6025E-01 .3912E-02
.3860E+03 .5544E-01 .3720E-02
.3870E+03 .5804E-01 .4018E-02
.3880E+03 .5652E-01 .4030E-02
.3890E+03 .6080E-01 .4467E-02
.3900E+03 .7055E-01 .5340E-02
.3910E+03 .7521E-01 .5861E-02
.3920E+03 .7007E-01 .5608E-02
.3930E+03 .4221E-01 .3483E-02
.3940E+03 .4351E-01 .3693E-02
.3950E+03 .7074E-01 .6168E-02
.3960E+03 .6611E-01 .5912E-02
.3970E+03 .3717E-01 .3424E-02
.3980E+03 .7419E-01 .6994E-02
.3990E+03 .9287E-01 .9011E-02
.4000E+03 .9653E-01 .9580E-02
.4010E+03 .9843E-01 .1022E-01
.4020E+03 .1021E+00 .1090E-01
.4030E+03 .9817E-01 .1075E-01
.4040E+03 .9955E-01 .1116E-01
.4050E+03 .9690E-01 .1111E-01
.4060E+03 .9433E-01 .1110E-01
.4070E+03 .9244E-01 .1117E-01
.4080E+03 .9627E-01 .1186E-01
.4090E+03 .1026E+00 .1293E-01
.4100E+03 .8725E-01 .1126E-01
.4110E+03 .9748E-01 .1287E-01
.4120E+03 .1034E+00 .1400E-01
.4130E+03 .9903E-01 .1364E-01
.4140E+03 .9776E-01 .1379E-01
.4150E+03 .1010E+00 .1457E-01
.4160E+03 .1037E+00 .1534E-01
.4170E+03 .1009E+00 .1523E-01
.4180E+03 .9633E-01 .1483E-01
.4190E+03 .1001E+00 .1573E-01
.4200E+03 .9151E-01 .1466E-01
.4210E+03 .1037E+00 .1696E-01
.4220E+03 .1020E+00 .1703E-01
.4230E+03 .9846E-01 .1679E-01
.4240E+03 .9761E-01 .1696E-01
.4250E+03 .1003E+00 .1782E-01
.4260E+03 .9729E-01 .1767E-01
.4270E+03 .9381E-01 .1733E-01
.4280E+03 .9455E-01 .1775E-01
.4290E+03 .8741E-01 .1678E-01
.4300E+03 .6957E-01 .1360E-01
.4310E+03 .6297E-01 .1250E-01
.4320E+03 .1044E+00 .2120E-01
.4330E+03 .9689E-01 .2004E-01
.4340E+03 .8929E-01 .1876E-01
.4350E+03 .9773E-01 .2082E-01
.4360E+03 .1070E+00 .2327E-01
.4370E+03 .1089E+00 .2419E-01
.4380E+03 .9521E-01 .2157E-01
.4390E+03 .9118E-01 .2087E-01
.4400E+03 .1041E+00 .2433E-01
.4410E+03 .1023E+00 .2443E-01
.4420E+03 .1091E+00 .2646E-01
.4430E+03 .1101E+00 .2687E-01
.4440E+03 .1072E+00 .2672E-01
.4450E+03 .1111E+00 .2794E-01
.4460E+03 .9952E-01 .2550E-01
.4470E+03 .1130E+00 .2958E-01
.4480E+03 .1140E+00 .3016E-01
.4490E+03 .1133E+00 .3072E-01
.4500E+03 .1170E+00 .3232E-01
.4510E+03 .1210E+00 .3393E-01
.4520E+03 .1156E+00 .3288E-01
.4530E+03 .1065E+00 .3074E-01
.4540E+03 .1139E+00 .3345E-01
.4550E+03 .1126E+00 .3356E-01
.4560E+03 .1159E+00 .3509E-01
.4570E+03 .1162E+00 .3578E-01
.4580E+03 .1131E+00 .3526E-01
.4590E+03 .1115E+00 .3542E-01
.4600E+03 .1101E+00 .3550E-01
.4610E+03 .1135E+00 .3715E-01
.4620E+03 .1142E+00 .3800E-01
.4630E+03 .1144E+00 .3838E-01
.4640E+03 .1109E+00 .3773E-01
.4650E+03 .1095E+00 .3780E-01
.4660E+03 .1116E+00 .3909E-01
.4670E+03 .1062E+00 .3754E-01
.4680E+03 .1103E+00 .3954E-01
.4690E+03 .1102E+00 .4005E-01
.4700E+03 .1054E+00 .3868E-01
.4710E+03 .1069E+00 .3974E-01
.4720E+03 .1122E+00 .4206E-01
.4730E+03 .1075E+00 .4071E-01
.4740E+03 .1083E+00 .4130E-01
.4750E+03 .1113E+00 .4276E-01
.4760E+03 .1068E+00 .4128E-01
.4770E+03 .1066E+00 .4167E-01
.4780E+03 .1093E+00 .4355E-01
.4790E+03 .1063E+00 .4336E-01
.4800E+03 .1073E+00 .4474E-01
.4810E+03 .1066E+00 .4545E-01
.4820E+03 .1065E+00 .4630E-01
.4830E+03 .1050E+00 .4639E-01
.4840E+03 .1029E+00 .4595E-01
.4850E+03 .1025E+00 .4613E-01
.4860E+03 .8307E-01 .3781E-01
.4870E+03 .9289E-01 .4281E-01
.4880E+03 .1002E+00 .4661E-01
.4890E+03 .9389E-01 .4409E-01
.4900E+03 .1044E+00 .4982E-01
.4910E+03 .9986E-01 .4841E-01
.4920E+03 .9482E-01 .4650E-01
.4930E+03 .1011E+00 .5010E-01
.4940E+03 .9833E-01 .4922E-01
.4950E+03 .1040E+00 .5263E-01
.4960E+03 .9840E-01 .5034E-01
.4970E+03 .9944E-01 .5157E-01
.4980E+03 .9598E-01 .5051E-01
.4990E+03 .9513E-01 .5077E-01
.5000E+03 .9394E-01 .5076E-01
