Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3500E+03 .3275E-01 .3277E-01 .2900E-04 .2900E-04 .3275E-01 .3277E-01
.3510E+03 .3407E-01 .3410E-01 .3250E-04 .3250E-04 .3407E-01 .3410E-01
.3520E+03 .3185E-01 .3188E-01 .3285E-04 .3285E-04 .3185E-01 .3188E-01
.3530E+03 .3200E-01 .3204E-01 .3575E-04 .3575E-04 .3200E-01 .3204E-01
.3540E+03 .3716E-01 .3721E-01 .4424E-04 .4424E-04 .3716E-01 .3721E-01
.3550E+03 .3742E-01 .3747E-01 .4798E-04 .4798E-04 .3742E-01 .3747E-01
.3560E+03 .3386E-01 .3390E-01 .4707E-04 .4707E-04 .3386E-01 .3390E-01
.3570E+03 .2783E-01 .2787E-01 .4120E-04 .4120E-04 .2783E-01 .2787E-01
.3580E+03 .2615E-01 .2619E-01 .4126E-04 .4126E-04 .2615E-01 .2619E-01
.3590E+03 .2846E-01 .2851E-01 .4780E-04 .4780E-04 .2846E-01 .2851E-01
.3600E+03 .3612E-01 .3618E-01 .6457E-04 .6457E-04 .3612E-01 .3618E-01
.3610E+03 .3137E-01 .3143E-01 .6008E-04 .6008E-04 .3137E-01 .3143E-01
.3620E+03 .3217E-01 .3224E-01 .6716E-04 .6716E-04 .3217E-01 .3224E-01
.3630E+03 .3617E-01 .3626E-01 .8186E-04 .8186E-04 .3617E-01 .3626E-01
.3640E+03 .3635E-01 .3644E-01 .8851E-04 .8851E-04 .3635E-01 .3644E-01
.3650E+03 .3728E-01 .3738E-01 .9675E-04 .9675E-04 .3728E-01 .3738E-01
.3660E+03 .4387E-01 .4399E-01 .1217E-03 .1217E-03 .4387E-01 .4399E-01
.3670E+03 .4303E-01 .4316E-01 .1271E-03 .1271E-03 .4303E-01 .4316E-01
.3680E+03 .3964E-01 .3976E-01 .1239E-03 .1239E-03 .3964E-01 .3976E-01
.3690E+03 .4106E-01 .4119E-01 .1370E-03 .1370E-03 .4106E-01 .4119E-01
.3700E+03 .4464E-01 .4480E-01 .1589E-03 .1589E-03 .4464E-01 .4480E-01
.3710E+03 .4090E-01 .4106E-01 .1550E-03 .1550E-03 .4090E-01 .4106E-01
.3720E+03 .3970E-01 .3985E-01 .1589E-03 .1589E-03 .3970E-01 .3985E-01
.3730E+03 .3635E-01 .3650E-01 .1545E-03 .1545E-03 .3635E-01 .3650E-01
.3740E+03 .3260E-01 .3275E-01 .1469E-03 .1469E-03 .3260E-01 .3275E-01
.3750E+03 .3446E-01 .3462E-01 .1643E-03 .1643E-03 .3446E-01 .3462E-01
.3760E+03 .3937E-01 .3957E-01 .1972E-03 .1972E-03 .3937E-01 .3957E-01
.3770E+03 .4147E-01 .4169E-01 .2189E-03 .2189E-03 .4147E-01 .4169E-01
.3780E+03 .4974E-01 .5001E-01 .2757E-03 .2757E-03 .4974E-01 .5001E-01
.3790E+03 .4314E-01 .4339E-01 .2501E-03 .2501E-03 .4314E-01 .4339E-01
.3800E+03 .4056E-01 .4081E-01 .2460E-03 .2460E-03 .4056E-01 .4081E-01
.3810E+03 .4415E-01 .4443E-01 .2839E-03 .2839E-03 .4415E-01 .4443E-01
.3820E+03 .3387E-01 .3410E-01 .2312E-03 .2312E-03 .3387E-01 .3410E-01
.3830E+03 .2623E-01 .2642E-01 .1897E-03 .1897E-03 .2623E-01 .2642E-01
.3840E+03 .2933E-01 .2955E-01 .2232E-03 .2232E-03 .2933E-01 .2955E-01
.3850E+03 .3869E-01 .3900E-01 .3097E-03 .3097E-03 .3869E-01 .3900E-01
.3860E+03 .3561E-01 .3591E-01 .3004E-03 .3004E-03 .3561E-01 .3591E-01
.3870E+03 .3730E-01 .3763E-01 .3306E-03 .3306E-03 .3730E-01 .3763E-01
.3880E+03 .3635E-01 .3669E-01 .3376E-03 .3376E-03 .3635E-01 .3669E-01
.3890E+03 .3912E-01 .3951E-01 .3810E-03 .3810E-03 .3912E-01 .3951E-01
.3900E+03 .4543E-01 .4589E-01 .4636E-03 .4636E-03 .4543E-01 .4589E-01
.3910E+03 .4846E-01 .4897E-01 .5179E-03 .5179E-03 .4846E-01 .4897E-01
.3920E+03 .4517E-01 .4568E-01 .5036E-03 .5036E-03 .4517E-01 .4568E-01
.3930E+03 .2723E-01 .2755E-01 .3185E-03 .3185E-03 .2723E-01 .2755E-01
.3940E+03 .2809E-01 .2843E-01 .3433E-03 .3433E-03 .2809E-01 .2843E-01
.3950E+03 .4570E-01 .4628E-01 .5829E-03 .5829E-03 .4570E-01 .4628E-01
.3960E+03 .4274E-01 .4331E-01 .5673E-03 .5673E-03 .4274E-01 .4331E-01
.3970E+03 .2405E-01 .2439E-01 .3344E-03 .3344E-03 .2405E-01 .2439E-01
.3980E+03 .4804E-01 .4873E-01 .6926E-03 .6926E-03 .4804E-01 .4873E-01
.3990E+03 .6018E-01 .6109E-01 .9078E-03 .9078E-03 .6018E-01 .6109E-01
.4000E+03 .6260E-01 .6358E-01 .9784E-03 .9784E-03 .6260E-01 .6358E-01
.4010E+03 .6434E-01 .6540E-01 .1061E-02 .1061E-02 .6434E-01 .6540E-01
.4020E+03 .6681E-01 .6796E-01 .1149E-02 .1149E-02 .6681E-01 .6796E-01
.4030E+03 .6426E-01 .6541E-01 .1152E-02 .1152E-02 .6426E-01 .6541E-01
.4040E+03 .6521E-01 .6642E-01 .1212E-02 .1212E-02 .6521E-01 .6642E-01
.4050E+03 .6353E-01 .6475E-01 .1223E-02 .1223E-02 .6353E-01 .6475E-01
.4060E+03 .6189E-01 .6313E-01 .1241E-02 .1241E-02 .6189E-01 .6313E-01
.4070E+03 .6070E-01 .6197E-01 .1267E-02 .1267E-02 .6070E-01 .6197E-01
.4080E+03 .6326E-01 .6462E-01 .1362E-02 .1362E-02 .6326E-01 .6462E-01
.4090E+03 .6746E-01 .6897E-01 .1506E-02 .1506E-02 .6746E-01 .6897E-01
.4100E+03 .5743E-01 .5876E-01 .1329E-02 .1329E-02 .5743E-01 .5876E-01
.4110E+03 .6422E-01 .6576E-01 .1540E-02 .1540E-02 .6422E-01 .6576E-01
.4120E+03 .6821E-01 .6991E-01 .1699E-02 .1699E-02 .6821E-01 .6991E-01
.4130E+03 .6537E-01 .6704E-01 .1674E-02 .1674E-02 .6537E-01 .6704E-01
.4140E+03 .6459E-01 .6631E-01 .1716E-02 .1716E-02 .6459E-01 .6631E-01
.4150E+03 .6676E-01 .6860E-01 .1838E-02 .1838E-02 .6676E-01 .6860E-01
.4160E+03 .6866E-01 .7062E-01 .1962E-02 .1962E-02 .6866E-01 .7062E-01
.4170E+03 .6686E-01 .6884E-01 .1971E-02 .1971E-02 .6686E-01 .6884E-01
.4180E+03 .6388E-01 .6583E-01 .1943E-02 .1943E-02 .6388E-01 .6583E-01
.4190E+03 .6644E-01 .6852E-01 .2085E-02 .2085E-02 .6644E-01 .6852E-01
.4200E+03 .6081E-01 .6278E-01 .1966E-02 .1966E-02 .6081E-01 .6278E-01
.4210E+03 .6897E-01 .7127E-01 .2302E-02 .2302E-02 .6897E-01 .7127E-01
.4220E+03 .6791E-01 .7025E-01 .2337E-02 .2337E-02 .6791E-01 .7025E-01
.4230E+03 .6562E-01 .6795E-01 .2331E-02 .2331E-02 .6562E-01 .6795E-01
.4240E+03 .6512E-01 .6750E-01 .2381E-02 .2381E-02 .6512E-01 .6750E-01
.4250E+03 .6700E-01 .6953E-01 .2531E-02 .2531E-02 .6700E-01 .6953E-01
.4260E+03 .6504E-01 .6758E-01 .2543E-02 .2543E-02 .6504E-01 .6758E-01
.4270E+03 .6278E-01 .6530E-01 .2520E-02 .2520E-02 .6278E-01 .6530E-01
.4280E+03 .6336E-01 .6597E-01 .2606E-02 .2606E-02 .6336E-01 .6597E-01
.4290E+03 .5865E-01 .6114E-01 .2495E-02 .2495E-02 .5865E-01 .6114E-01
.4300E+03 .4673E-01 .4877E-01 .2045E-02 .2045E-02 .4673E-01 .4877E-01
.4310E+03 .4234E-01 .4423E-01 .1895E-02 .1895E-02 .4234E-01 .4423E-01
.4320E+03 .7029E-01 .7354E-01 .3254E-02 .3254E-02 .7029E-01 .7354E-01
.4330E+03 .6529E-01 .6839E-01 .3108E-02 .3108E-02 .6529E-01 .6839E-01
.4340E+03 .6024E-01 .6317E-01 .2935E-02 .2935E-02 .6024E-01 .6317E-01
.4350E+03 .6602E-01 .6930E-01 .3285E-02 .3285E-02 .6602E-01 .6930E-01
.4360E+03 .7234E-01 .7605E-01 .3714E-02 .3714E-02 .7234E-01 .7605E-01
.4370E+03 .7372E-01 .7762E-01 .3906E-02 .3906E-02 .7372E-01 .7762E-01
.4380E+03 .6453E-01 .6805E-01 .3520E-02 .3520E-02 .6453E-01 .6805E-01
.4390E+03 .6186E-01 .6528E-01 .3423E-02 .3423E-02 .6186E-01 .6528E-01
.4400E+03 .7070E-01 .7474E-01 .4033E-02 .4033E-02 .7070E-01 .7474E-01
.4410E+03 .6953E-01 .7362E-01 .4095E-02 .4095E-02 .6953E-01 .7362E-01
.4420E+03 .7420E-01 .7867E-01 .4468E-02 .4468E-02 .7420E-01 .7867E-01
.4430E+03 .7499E-01 .7953E-01 .4543E-02 .4543E-02 .7499E-01 .7953E-01
.4440E+03 .7314E-01 .7772E-01 .4579E-02 .4579E-02 .7314E-01 .7772E-01
.4450E+03 .7589E-01 .8071E-01 .4814E-02 .4814E-02 .7589E-01 .8071E-01
.4460E+03 .6809E-01 .7253E-01 .4440E-02 .4440E-02 .6809E-01 .7253E-01
.4470E+03 .7744E-01 .8266E-01 .5219E-02 .5219E-02 .7744E-01 .8266E-01
.4480E+03 .7818E-01 .8354E-01 .5356E-02 .5356E-02 .7818E-01 .8354E-01
.4490E+03 .7780E-01 .8332E-01 .5523E-02 .5523E-02 .7780E-01 .8332E-01
.4500E+03 .8042E-01 .8629E-01 .5868E-02 .5868E-02 .8042E-01 .8629E-01
.4510E+03 .8324E-01 .8945E-01 .6212E-02 .6212E-02 .8324E-01 .8945E-01
.4520E+03 .7961E-01 .8568E-01 .6068E-02 .6068E-02 .7961E-01 .8568E-01
.4530E+03 .7345E-01 .7917E-01 .5720E-02 .5720E-02 .7345E-01 .7917E-01
