Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3500E+03 .1041E-01 .1041E-01 .2474E-08 .2474E-08 .1041E-01 .1041E-01
.3510E+03 .1086E-01 .1086E-01 .3001E-08 .3001E-08 .1086E-01 .1086E-01
.3520E+03 .1018E-01 .1018E-01 .3285E-08 .3285E-08 .1018E-01 .1018E-01
.3530E+03 .1028E-01 .1028E-01 .3883E-08 .3883E-08 .1028E-01 .1028E-01
.3540E+03 .1199E-01 .1199E-01 .5169E-08 .5169E-08 .1199E-01 .1199E-01
.3550E+03 .1211E-01 .1211E-01 .6055E-08 .6055E-08 .1211E-01 .1211E-01
.3560E+03 .1099E-01 .1099E-01 .6433E-08 .6433E-08 .1099E-01 .1099E-01
.3570E+03 .9059E-02 .9059E-02 .6020E-08 .6020E-08 .9059E-02 .9059E-02
.3580E+03 .8538E-02 .8538E-02 .6433E-08 .6433E-08 .8538E-02 .8538E-02
.3590E+03 .9318E-02 .9318E-02 .7931E-08 .7931E-08 .9318E-02 .9318E-02
.3600E+03 .1185E-01 .1185E-01 .1142E-07 .1142E-07 .1185E-01 .1185E-01
.3610E+03 .1032E-01 .1032E-01 .1145E-07 .1145E-07 .1032E-01 .1032E-01
.3620E+03 .1061E-01 .1061E-01 .1404E-07 .1404E-07 .1061E-01 .1061E-01
.3630E+03 .1195E-01 .1195E-01 .1866E-07 .1866E-07 .1195E-01 .1195E-01
.3640E+03 .1204E-01 .1204E-01 .2180E-07 .2180E-07 .1204E-01 .1204E-01
.3650E+03 .1237E-01 .1237E-01 .2555E-07 .2555E-07 .1237E-01 .1237E-01
.3660E+03 .1458E-01 .1458E-01 .3446E-07 .3446E-07 .1458E-01 .1458E-01
.3670E+03 .1433E-01 .1433E-01 .3846E-07 .3846E-07 .1433E-01 .1433E-01
.3680E+03 .1322E-01 .1322E-01 .3991E-07 .3991E-07 .1322E-01 .1322E-01
.3690E+03 .1371E-01 .1371E-01 .4716E-07 .4716E-07 .1371E-01 .1371E-01
.3700E+03 .1492E-01 .1492E-01 .5843E-07 .5843E-07 .1492E-01 .1492E-01
.3710E+03 .1369E-01 .1369E-01 .6079E-07 .6079E-07 .1369E-01 .1369E-01
.3720E+03 .1330E-01 .1330E-01 .6612E-07 .6612E-07 .1330E-01 .1330E-01
.3730E+03 .1219E-01 .1219E-01 .6844E-07 .6844E-07 .1219E-01 .1219E-01
.3740E+03 .1095E-01 .1095E-01 .6911E-07 .6911E-07 .1095E-01 .1095E-01
.3750E+03 .1158E-01 .1158E-01 .8197E-07 .8197E-07 .1158E-01 .1158E-01
.3760E+03 .1325E-01 .1325E-01 .1039E-06 .1039E-06 .1325E-01 .1325E-01
.3770E+03 .1396E-01 .1396E-01 .1217E-06 .1217E-06 .1396E-01 .1396E-01
.3780E+03 .1676E-01 .1676E-01 .1609E-06 .1609E-06 .1676E-01 .1676E-01
.3790E+03 .1454E-01 .1454E-01 .1529E-06 .1529E-06 .1454E-01 .1454E-01
.3800E+03 .1368E-01 .1368E-01 .1580E-06 .1580E-06 .1368E-01 .1368E-01
.3810E+03 .1490E-01 .1490E-01 .1940E-06 .1940E-06 .1490E-01 .1490E-01
.3820E+03 .1143E-01 .1143E-01 .1684E-06 .1684E-06 .1143E-01 .1143E-01
.3830E+03 .8856E-02 .8856E-02 .1470E-06 .1470E-06 .8856E-02 .8856E-02
.3840E+03 .9906E-02 .9907E-02 .1828E-06 .1828E-06 .9906E-02 .9907E-02
.3850E+03 .1307E-01 .1307E-01 .2678E-06 .2678E-06 .1307E-01 .1307E-01
.3860E+03 .1204E-01 .1204E-01 .2741E-06 .2741E-06 .1204E-01 .1204E-01
.3870E+03 .1261E-01 .1261E-01 .3177E-06 .3177E-06 .1261E-01 .1261E-01
.3880E+03 .1229E-01 .1229E-01 .3409E-06 .3409E-06 .1229E-01 .1229E-01
.3890E+03 .1323E-01 .1323E-01 .4045E-06 .4045E-06 .1323E-01 .1323E-01
.3900E+03 .1536E-01 .1536E-01 .5172E-06 .5172E-06 .1536E-01 .1536E-01
.3910E+03 .1638E-01 .1639E-01 .6064E-06 .6064E-06 .1638E-01 .1639E-01
.3920E+03 .1528E-01 .1528E-01 .6176E-06 .6176E-06 .1528E-01 .1528E-01
.3930E+03 .9207E-02 .9208E-02 .4101E-06 .4101E-06 .9207E-02 .9208E-02
.3940E+03 .9498E-02 .9498E-02 .4630E-06 .4630E-06 .9498E-02 .9498E-02
.3950E+03 .1545E-01 .1545E-01 .8227E-06 .8227E-06 .1545E-01 .1545E-01
.3960E+03 .1445E-01 .1445E-01 .8366E-06 .8366E-06 .1445E-01 .1445E-01
.3970E+03 .8131E-02 .8132E-02 .5168E-06 .5168E-06 .8131E-02 .8132E-02
.3980E+03 .1624E-01 .1624E-01 .1116E-05 .1116E-05 .1624E-01 .1624E-01
.3990E+03 .2034E-01 .2034E-01 .1531E-05 .1531E-05 .2034E-01 .2034E-01
.4000E+03 .2116E-01 .2116E-01 .1718E-05 .1718E-05 .2116E-01 .2116E-01
.4010E+03 .2220E-01 .2220E-01 .1945E-05 .1945E-05 .2220E-01 .2220E-01
.4020E+03 .2305E-01 .2305E-01 .2200E-05 .2200E-05 .2305E-01 .2305E-01
.4030E+03 .2216E-01 .2216E-01 .2301E-05 .2301E-05 .2216E-01 .2216E-01
.4040E+03 .2249E-01 .2249E-01 .2519E-05 .2519E-05 .2249E-01 .2249E-01
.4050E+03 .2190E-01 .2190E-01 .2643E-05 .2643E-05 .2190E-01 .2190E-01
.4060E+03 .2133E-01 .2133E-01 .2797E-05 .2797E-05 .2133E-01 .2133E-01
.4070E+03 .2092E-01 .2092E-01 .2977E-05 .2977E-05 .2092E-01 .2092E-01
.4080E+03 .2179E-01 .2179E-01 .3315E-05 .3315E-05 .2179E-01 .2179E-01
.4090E+03 .2323E-01 .2324E-01 .3808E-05 .3808E-05 .2323E-01 .2324E-01
.4100E+03 .1977E-01 .1978E-01 .3491E-05 .3491E-05 .1977E-01 .1978E-01
.4110E+03 .2211E-01 .2211E-01 .4203E-05 .4203E-05 .2211E-01 .2211E-01
.4120E+03 .2348E-01 .2349E-01 .4821E-05 .4821E-05 .2348E-01 .2349E-01
.4130E+03 .2250E-01 .2251E-01 .4911E-05 .4911E-05 .2250E-01 .2251E-01
.4140E+03 .2223E-01 .2224E-01 .5224E-05 .5224E-05 .2223E-01 .2224E-01
.4150E+03 .2298E-01 .2298E-01 .5805E-05 .5805E-05 .2298E-01 .2298E-01
.4160E+03 .2363E-01 .2363E-01 .6433E-05 .6433E-05 .2363E-01 .2363E-01
.4170E+03 .2301E-01 .2301E-01 .6685E-05 .6685E-05 .2301E-01 .2301E-01
.4180E+03 .2198E-01 .2199E-01 .6817E-05 .6817E-05 .2198E-01 .2199E-01
.4190E+03 .2286E-01 .2287E-01 .7568E-05 .7568E-05 .2286E-01 .2287E-01
.4200E+03 .2093E-01 .2094E-01 .7372E-05 .7372E-05 .2093E-01 .2094E-01
.4210E+03 .2374E-01 .2375E-01 .8930E-05 .8930E-05 .2374E-01 .2375E-01
.4220E+03 .2337E-01 .2338E-01 .9365E-05 .9365E-05 .2337E-01 .2338E-01
.4230E+03 .2258E-01 .2259E-01 .9650E-05 .9650E-05 .2258E-01 .2259E-01
