Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .2357E+00 .3693E+00
.3510E+03 .2447E+00 .3873E+00
.3520E+03 .2284E+00 .3648E+00
.3530E+03 .2245E+00 .3669E+00
.3540E+03 .2570E+00 .4277E+00
.3550E+03 .2573E+00 .4334E+00
.3560E+03 .2301E+00 .3933E+00
.3570E+03 .1877E+00 .3252E+00
.3580E+03 .1746E+00 .3070E+00
.3590E+03 .1886E+00 .3361E+00
.3600E+03 .2381E+00 .4294E+00
.3610E+03 .2044E+00 .3741E+00
.3620E+03 .2075E+00 .3846E+00
.3630E+03 .2313E+00 .4339E+00
.3640E+03 .2305E+00 .4378E+00
.3650E+03 .2347E+00 .4512E+00
.3660E+03 .2738E+00 .5330E+00
.3670E+03 .2662E+00 .5249E+00
.3680E+03 .2433E+00 .4858E+00
.3690E+03 .2501E+00 .5052E+00
.3700E+03 .2696E+00 .5512E+00
.3710E+03 .2450E+00 .5069E+00
.3720E+03 .2358E+00 .4940E+00
.3730E+03 .2142E+00 .4540E+00
.3740E+03 .1906E+00 .4088E+00
.3750E+03 .1999E+00 .4337E+00
.3760E+03 .2265E+00 .4975E+00
.3770E+03 .2367E+00 .5260E+00
.3780E+03 .2816E+00 .6332E+00
.3790E+03 .2423E+00 .5515E+00
.3800E+03 .2261E+00 .5207E+00
.3810E+03 .2441E+00 .5683E+00
.3820E+03 .1858E+00 .4372E+00
.3830E+03 .1427E+00 .3395E+00
.3840E+03 .1583E+00 .3808E+00
.3850E+03 .2072E+00 .5038E+00
.3860E+03 .1893E+00 .4651E+00
.3870E+03 .1967E+00 .4886E+00
.3880E+03 .1902E+00 .4775E+00
.3890E+03 .2031E+00 .5155E+00
.3900E+03 .2340E+00 .6001E+00
.3910E+03 .2477E+00 .6419E+00
.3920E+03 .2291E+00 .6003E+00
.3930E+03 .1370E+00 .3627E+00
.3940E+03 .1403E+00 .3751E+00
.3950E+03 .2265E+00 .6120E+00
.3960E+03 .2102E+00 .5739E+00
.3970E+03 .1174E+00 .3236E+00
.3980E+03 .2326E+00 .6482E+00
.3990E+03 .2891E+00 .8137E+00
.4000E+03 .2985E+00 .8489E+00
.4010E+03 .3053E+00 .8850E+00
.4020E+03 .3147E+00 .9208E+00
.4030E+03 .3004E+00 .8875E+00
.4040E+03 .3026E+00 .9028E+00
.4050E+03 .2927E+00 .8815E+00
.4060E+03 .2831E+00 .8605E+00
.4070E+03 .2757E+00 .8458E+00
.4080E+03 .2854E+00 .8843E+00
.4090E+03 .3023E+00 .9453E+00
.4100E+03 .2555E+00 .8065E+00
.4110E+03 .2836E+00 .9035E+00
.4120E+03 .2990E+00 .9611E+00
.4130E+03 .2844E+00 .9230E+00
.4140E+03 .2791E+00 .9137E+00
.4150E+03 .2865E+00 .9465E+00
.4160E+03 .2927E+00 .9754E+00
.4170E+03 .2832E+00 .9523E+00
.4180E+03 .2687E+00 .9117E+00
.4190E+03 .2774E+00 .9497E+00
.4200E+03 .2522E+00 .8710E+00
.4210E+03 .2841E+00 .9901E+00
.4220E+03 .2780E+00 .9774E+00
.4230E+03 .2671E+00 .9472E+00
.4240E+03 .2635E+00 .9429E+00
.4250E+03 .2695E+00 .9724E+00
.4260E+03 .2599E+00 .9453E+00
.4270E+03 .2491E+00 .9139E+00
.4280E+03 .2495E+00 .9236E+00
.4290E+03 .2293E+00 .8555E+00
.4300E+03 .1815E+00 .6830E+00
.4310E+03 .1635E+00 .6206E+00
.4320E+03 .2699E+00 .1033E+01
.4330E+03 .2493E+00 .9617E+00
.4340E+03 .2285E+00 .8891E+00
.4350E+03 .2487E+00 .9761E+00
.4360E+03 .2708E+00 .1071E+01
.4370E+03 .2743E+00 .1093E+01
.4380E+03 .2390E+00 .9600E+00
.4390E+03 .2281E+00 .9248E+00
.4400E+03 .2595E+00 .1061E+01
.4410E+03 .2542E+00 .1046E+01
.4420E+03 .2699E+00 .1121E+01
.4430E+03 .2712E+00 .1136E+01
.4440E+03 .2627E+00 .1109E+01
.4450E+03 .2706E+00 .1152E+01
.4460E+03 .2409E+00 .1033E+01
.4470E+03 .2722E+00 .1175E+01
.4480E+03 .2735E+00 .1191E+01
.4490E+03 .2710E+00 .1188E+01
.4500E+03 .2790E+00 .1232E+01
.4510E+03 .2873E+00 .1278E+01
