Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .1925E+00 .1499E+00
.3510E+03 .2002E+00 .1580E+00
.3520E+03 .1869E+00 .1495E+00
.3530E+03 .1847E+00 .1513E+00
.3540E+03 .2128E+00 .1776E+00
.3550E+03 .2134E+00 .1809E+00
.3560E+03 .1910E+00 .1647E+00
.3570E+03 .1564E+00 .1370E+00
.3580E+03 .1461E+00 .1301E+00
.3590E+03 .1583E+00 .1432E+00
.3600E+03 .2004E+00 .1840E+00
.3610E+03 .1725E+00 .1610E+00
.3620E+03 .1749E+00 .1659E+00
.3630E+03 .1948E+00 .1876E+00
.3640E+03 .1943E+00 .1899E+00
.3650E+03 .1982E+00 .1967E+00
.3660E+03 .2316E+00 .2332E+00
.3670E+03 .2256E+00 .2306E+00
.3680E+03 .2068E+00 .2145E+00
.3690E+03 .2128E+00 .2238E+00
.3700E+03 .2296E+00 .2450E+00
.3710E+03 .2089E+00 .2261E+00
.3720E+03 .2016E+00 .2213E+00
.3730E+03 .1833E+00 .2041E+00
.3740E+03 .1634E+00 .1844E+00
.3750E+03 .1716E+00 .1963E+00
.3760E+03 .1951E+00 .2263E+00
.3770E+03 .2042E+00 .2401E+00
.3780E+03 .2436E+00 .2902E+00
.3790E+03 .2103E+00 .2540E+00
.3800E+03 .1969E+00 .2409E+00
.3810E+03 .2126E+00 .2635E+00
.3820E+03 .1618E+00 .2032E+00
.3830E+03 .1243E+00 .1581E+00
.3840E+03 .1381E+00 .1779E+00
.3850E+03 .1810E+00 .2362E+00
.3860E+03 .1654E+00 .2186E+00
.3870E+03 .1721E+00 .2303E+00
.3880E+03 .1666E+00 .2258E+00
.3890E+03 .1782E+00 .2444E+00
.3900E+03 .2056E+00 .2854E+00
.3910E+03 .2178E+00 .3061E+00
.3920E+03 .2019E+00 .2872E+00
.3930E+03 .1208E+00 .1739E+00
.3940E+03 .1238E+00 .1804E+00
.3950E+03 .2002E+00 .2951E+00
.3960E+03 .1862E+00 .2777E+00
.3970E+03 .1040E+00 .1569E+00
.3980E+03 .2066E+00 .3154E+00
.3990E+03 .2569E+00 .3967E+00
.4000E+03 .2659E+00 .4153E+00
.4010E+03 .2714E+00 .4339E+00
.4020E+03 .2798E+00 .4524E+00
.4030E+03 .2673E+00 .4370E+00
.4040E+03 .2698E+00 .4458E+00
.4050E+03 .2614E+00 .4366E+00
.4060E+03 .2529E+00 .4269E+00
.4070E+03 .2464E+00 .4204E+00
.4080E+03 .2557E+00 .4410E+00
.4090E+03 .2711E+00 .4726E+00
.4100E+03 .2294E+00 .4041E+00
.4110E+03 .2549E+00 .4537E+00
.4120E+03 .2688E+00 .4834E+00
.4130E+03 .2564E+00 .4658E+00
.4140E+03 .2517E+00 .4619E+00
.4150E+03 .2586E+00 .4794E+00
.4160E+03 .2642E+00 .4948E+00
.4170E+03 .2559E+00 .4842E+00
.4180E+03 .2432E+00 .4646E+00
.4190E+03 .2514E+00 .4850E+00
.4200E+03 .2288E+00 .4459E+00
.4210E+03 .2580E+00 .5078E+00
.4220E+03 .2528E+00 .5024E+00
.4230E+03 .2430E+00 .4878E+00
.4240E+03 .2400E+00 .4866E+00
.4250E+03 .2455E+00 .5026E+00
.4260E+03 .2367E+00 .4891E+00
.4270E+03 .2272E+00 .4740E+00
.4280E+03 .2281E+00 .4802E+00
.4290E+03 .2096E+00 .4452E+00
.4300E+03 .1660E+00 .3561E+00
.4310E+03 .1499E+00 .3244E+00
.4320E+03 .2473E+00 .5404E+00
.4330E+03 .2285E+00 .5040E+00
.4340E+03 .2099E+00 .4671E+00
.4350E+03 .2290E+00 .5142E+00
.4360E+03 .2492E+00 .5646E+00
.4370E+03 .2523E+00 .5769E+00
.4380E+03 .2198E+00 .5071E+00
.4390E+03 .2105E+00 .4903E+00
.4400E+03 .2394E+00 .5627E+00
.4410E+03 .2341E+00 .5554E+00
.4420E+03 .2487E+00 .5954E+00
.4430E+03 .2503E+00 .6042E+00
.4440E+03 .2428E+00 .5913E+00
.4450E+03 .2508E+00 .6158E+00
.4460E+03 .2233E+00 .5526E+00
.4470E+03 .2524E+00 .6300E+00
.4480E+03 .2543E+00 .6403E+00
.4490E+03 .2515E+00 .6387E+00
.4500E+03 .2587E+00 .6629E+00
