Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .1415E+00 .5204E-01
.3510E+03 .1471E+00 .5514E-01
.3520E+03 .1375E+00 .5251E-01
.3530E+03 .1365E+00 .5351E-01
.3540E+03 .1572E+00 .6295E-01
.3550E+03 .1578E+00 .6448E-01
.3560E+03 .1419E+00 .5926E-01
.3570E+03 .1162E+00 .4945E-01
.3580E+03 .1086E+00 .4712E-01
.3590E+03 .1177E+00 .5206E-01
.3600E+03 .1490E+00 .6710E-01
.3610E+03 .1286E+00 .5907E-01
.3620E+03 .1311E+00 .6154E-01
.3630E+03 .1467E+00 .7029E-01
.3640E+03 .1468E+00 .7171E-01
.3650E+03 .1500E+00 .7459E-01
.3660E+03 .1756E+00 .8900E-01
.3670E+03 .1714E+00 .8847E-01
.3680E+03 .1572E+00 .8255E-01
.3690E+03 .1621E+00 .8670E-01
.3700E+03 .1754E+00 .9552E-01
.3710E+03 .1600E+00 .8869E-01
.3720E+03 .1546E+00 .8711E-01
.3730E+03 .1409E+00 .8079E-01
.3740E+03 .1258E+00 .7338E-01
.3750E+03 .1324E+00 .7850E-01
.3760E+03 .1505E+00 .9070E-01
.3770E+03 .1578E+00 .9664E-01
.3780E+03 .1883E+00 .1172E+00
.3790E+03 .1626E+00 .1027E+00
.3800E+03 .1522E+00 .9759E-01
.3810E+03 .1649E+00 .1075E+00
.3820E+03 .1259E+00 .8344E-01
.3830E+03 .9701E-01 .6536E-01
.3840E+03 .1079E+00 .7386E-01
.3850E+03 .1417E+00 .9848E-01
.3860E+03 .1298E+00 .9163E-01
.3870E+03 .1354E+00 .9698E-01
.3880E+03 .1313E+00 .9544E-01
.3890E+03 .1406E+00 .1038E+00
.3900E+03 .1625E+00 .1217E+00
.3910E+03 .1725E+00 .1310E+00
.3920E+03 .1600E+00 .1233E+00
.3930E+03 .9596E-01 .7504E-01
.3940E+03 .9851E-01 .7813E-01
.3950E+03 .1595E+00 .1283E+00
.3960E+03 .1484E+00 .1210E+00
.3970E+03 .8311E-01 .6872E-01
.3980E+03 .1652E+00 .1384E+00
.3990E+03 .2059E+00 .1749E+00
.4000E+03 .2131E+00 .1834E+00
.4010E+03 .2172E+00 .1924E+00
.4020E+03 .2245E+00 .2015E+00
.4030E+03 .2149E+00 .1954E+00
.4040E+03 .2170E+00 .1998E+00
.4050E+03 .2104E+00 .1961E+00
.4060E+03 .2040E+00 .1926E+00
.4070E+03 .1992E+00 .1906E+00
.4080E+03 .2067E+00 .2001E+00
.4090E+03 .2194E+00 .2150E+00
.4100E+03 .1859E+00 .1844E+00
.4110E+03 .2069E+00 .2077E+00
.4120E+03 .2186E+00 .2223E+00
.4130E+03 .2085E+00 .2143E+00
.4140E+03 .2050E+00 .2133E+00
.4150E+03 .2110E+00 .2222E+00
.4160E+03 .2160E+00 .2303E+00
.4170E+03 .2094E+00 .2258E+00
.4180E+03 .1991E+00 .2172E+00
.4190E+03 .2061E+00 .2273E+00
.4200E+03 .1877E+00 .2094E+00
.4210E+03 .2119E+00 .2391E+00
.4220E+03 .2078E+00 .2371E+00
.4230E+03 .2000E+00 .2308E+00
.4240E+03 .1976E+00 .2307E+00
.4250E+03 .2025E+00 .2391E+00
.4260E+03 .1956E+00 .2337E+00
.4270E+03 .1879E+00 .2268E+00
.4280E+03 .1887E+00 .2300E+00
.4290E+03 .1738E+00 .2142E+00
.4300E+03 .1378E+00 .1717E+00
.4310E+03 .1244E+00 .1565E+00
.4320E+03 .2057E+00 .2618E+00
.4330E+03 .1902E+00 .2448E+00
.4340E+03 .1747E+00 .2270E+00
.4350E+03 .1906E+00 .2499E+00
.4360E+03 .2079E+00 .2756E+00
.4370E+03 .2109E+00 .2827E+00
.4380E+03 .1840E+00 .2493E+00
.4390E+03 .1758E+00 .2404E+00
.4400E+03 .2002E+00 .2769E+00
.4410E+03 .1963E+00 .2745E+00
.4420E+03 .2087E+00 .2949E+00
.4430E+03 .2100E+00 .2991E+00
.4440E+03 .2039E+00 .2933E+00
.4450E+03 .2104E+00 .3052E+00
.4460E+03 .1878E+00 .2750E+00
.4470E+03 .2126E+00 .3145E+00
.4480E+03 .2138E+00 .3191E+00
.4490E+03 .2121E+00 .3202E+00
.4500E+03 .2185E+00 .3334E+00
.4510E+03 .2253E+00 .3470E+00
